발화문,상황
"3년 전에 친구 소개로 만나게 되었어.	",sad
"아직 경황이 없어서 작년까지는 생각을 못 해봤어 아빠가 준비하실 거야.	",sad
그저께 밤에 갑자기 의식을 잃더라고. 그러더니 어제 끝내 눈을 감았어. ,sad
부모님께서 기대가 너무 크셔서 말씀 못 드렸어.,sad
맞아. 좋은 곳으로 갔을 것 같애. 정말 착하고 예쁜 아이였어.,sad
15년을 키운 강아지잖아. 가족들 마음에 많이 힘들어 해.,sad
해피가 어제 세상을 떠났어.,sad
앞날이 불안해서 그런가 입맛도 없어. 이따 저녁에 부모님과 같이 먹어야지. 그리고 말씀 드려야되겠지.,sad
헤어진 지 이제 두 달 다 돼가 그런데 잊혀지지가 않아.,sad
시간이 지나면 잊혀지겠지만 지금은 가슴이 너무 찢어져.,sad
나 그 사람이랑 헤어졌어.,sad
그 사람한테 받은 상처가 커서 금방 잊혀질 줄 알았는데 마음 정리가 정말 쉽지가 않아.,sad
알아. 좋은 곳으로 갔을 거라고 우리도 믿어. 정말 착한 아이였거든.,sad
어제 저녁에 진짜 무서웠어.,fear
어제 지진 났어. 너도 느꼈니?,fear
"당연히 화는 내봤지. 화 낼 때마다 미안하고는 해. 다음엔 같이 하겠다고 하고. 또, 그러고는 또 나가. 이해할 수 없는 반복을 계속 해.",anger
누가 화장실에 토해냈어!,disgust
약속을 잡을 때마다 매번 늦어. 그래서 너무 화가 나.,anger
응 어제밤에 누가 토 해놨나봐! 아직 그대로 있어!,disgust
"친구가 약속 시간에 늦어도 내가 매번 참고 넘어갔는데, 이번에는 친구한테 이야기 좀 해봐야겠어.",anger
누가 화장실에 토를 하고 안 치웠어!,disgust
"깜짝 놀랬어. 냄새도 나고. 야, 오늘 밥은 못 먹겠다.",disgust
해피가 어제 세상을 떠났어.,sad
해피가 어제 세상을 떠났어.,sad
밤 새워 준비해 온 기획안을 또 퇴짜 맞았어!,sad
우웩 화장실에 누가 토해놓고 치우지도 않고 그냥 갔어.,disgust
맞아. 무기력증이 온 것 같아. 한 달동안 정말 바빴었거든. 쉴 수도 없이 일만 하고 있었어. 그러니 몸이 견뎌내질 못 하는 것 같아.,sad
나 면접 또 떨어졌어.,sad
사람들 정말 최악이지. 지금도 그냥 그대로 있는 것 같아. 그 곳 화장실을 사람들이 사용하질 않아.,disgust
오늘이 발표날이었어. 전화가 안 오더라고. 그래서 알아봤더니 명단에 내 이름이 없더래.,sad
유기견 다큐멘터리를 봤는데 무책임한 사람들 때문에 정말 화가 나.,disgust
나 결국 헤어졌어.,sad
아직 말씀 못 드렸어. 너무 기대가 크셔서 실망하실까봐.,sad
"아 나 룸메랑 또 싸웠어.	",anger
난 잘하는게 하나도 없나봐.,sad
"얘는 도대체 청소를 안 해 미쳐 버리겠어.	",anger
퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어!,anger
"나 결국 헤어졌어.	",sad
밤 새워 준비한 기획안을 또 퇴짜 맞았어. 처음부터 다시 해오래.,sad
아. 얘기 엄청 했지! 한 달 전에는 엄청 크게 뭐라고 했어. 아 근데 다 그 때뿐이야.,anger
나 남친이랑 결국 헤어졌어.,sad
이 회사 들어올 때 정말 힘들게 들어왔어. 조금만 더 버텨보고.,anger
나는 잘하는 게 없나봐.,sad
나 면접 또 떨어졌어.,sad
아. 나 면접 또 떨어졌어.,sad
다들 바빠서 얼굴 보기도 힘들어.,anger
그냥 밖에 걷고 있어.,sad
별다른 문제없이 만나고 있었는데 갑자기 권태기라고 시간을 갖자 그러더니 그 사이에 새로운 사람이 생겼나봐.,sad
어제 저녁에 진짜 무서웠다.,fear
"이게 이번 공채시즌 마지막 면접 이었거든 다음 시즌에 준비해야지 뭐.	",sad
알았어. 지금처럼 힘들 때마다 이야기 신청을 할게. 그때 들어줘.,anger
괜히 매일매일이 우울한 기분이 들어.,sad
아니. 나 이번 면접 진짜 잘 봤어. 난 그래서 될 줄 알았지.,sad
밥 생각 별로 없어. 배도 안 고프고.,sad
내가 잘하는 게 있긴 한걸까?,sad
"벌써 1시간이 지나고 있어 어쩜 이러지?	",anger
아 아픈데 또 밤 새서 기획안 작성해갔는데 처음부터 다시 해오래.,sad
으! 기숙사 화장실에 누가 토 해놨어.,disgust
덥고 힘들어 죽겠는데 친구가 연락을 안 받아.,anger
기운 없어서 나갈 힘도 없어.,sad
나 남친이랑 결국 헤어졌어.,sad
해피가 어제 세상을 떠났어. ,sad
"해피가 어제 세상을 떠났어.	",sad
기획안 다시 작성해야 해서. 하. 오늘은 야근 각이야.,sad
괜히 매일 우울한 기분이야.,sad
벌써 다섯 번째야. 다른 데 다 떨어졌어.,sad
내 생각엔 남친한테 딴 사람이 생긴 것 같아.,sad
해피가 어제 세상을 떠났어.,sad
"며칠 전부터 시름시름 앓더라고 그러더니 어제 끝내 눈을 감았어.	",sad
"그저께 밤에 갑자기 의식을 잃더라고 그러더니 어젯밤에 끝내 눈을 감았어.	",sad
아니야. 내가 너무 한심하다.,sad
하는 프로젝트도 엉망이고 하는일마다 안되는 거 같아.,sad
약속있어서 나왔는데 친구가 아직도 오지를 않아.,anger
"난 당연히 안 그러겠지 그리고 본 걸 어떡해 안 본 걸로 해 아직도 잊혀지지 않아.	",disgust
15년 간을 같이 동거동락을 했으니 다들 괜찮지않아. 상실감이 커해.,sad
아직 장례까지는 생각을 못 해봤어 아마 아빠가 준비하고 계시지 않을까>,sad
우리 해피 어제 죽었어.,sad
"시간이 지나면 잊혀지겠지만, 지금은 너무 힘들다.",sad
나도 그랬을 거라고 생각해. 정말 착하고 예쁜 아이였거든.,sad
엊그제 갑자기 응급실 실려 갔었거든 어제 좀 밥도 먹고 괜찮아지나 싶었는데 결국 죽었어. ,sad
괜히 매일매일 우울한 기분이 들어.,sad
괜히 매일 우울한 기분이 들어.,sad
"덥고 짜증 나 죽겠는데, 친구는 전활 안 받아.",anger
나 면접 또 떨어졌어.,sad
응. 엄마 아빠도 지금 기운 못 차리고 계셔. 많이 슬프신가봐.,sad
잘 모르겠어. 잠 드는 거 너무 힘들고 아침에 일어날 땐 더 힘들더라고. 회사 가서는 하루종일 멍 때리고 있는 것 같애.,sad
"나 결국 헤어졌어.	",sad
"룸메이트랑 너무 자주 싸우게 돼.	",anger
머릿 속 복잡하고 가슴이 답답해서 그냥 나와서 걷고 있어.,sad
나 결국 그 사람이랑 헤어졌어.,sad
15년 동안이나 같이 있었으니까 쉽게 잊혀지진 않을 것 같아.,sad
남친이 갑자기 권태기래. 그러고 시간을 갖재. 근데 사실은 딴 사람이 생긴 것 같애.,sad
룸메이트랑 요새 계속 싸운다?,anger
룸메가 청소를 안 해.,anger
으 기숙사 화장실에 누가 토 해놓고 치우지도 않고 그냥 갔어!,disgust
"이번 회사가 공채로 시험 볼 수 있는 마지막 회사였어.	",sad
"그럴 거야. 우리 해피, 좋은 데 갔을 거야.",sad
맞아 무기력증인거 같아 한동안 회사가 정말 바빴었거든.,sad
지난달에 정색하고 얘기했었어 한번.,anger
술 드시고 오시다가 계단에서 넘어지셨대.,anger
입맛이 없어서 아침부터 그냥 굶고 있어. 이따 저녁에 부모님과 함께 먹어야지.,sad
"아 진짜 친구 기다리는데 또 늦어.	",anger
아무것도 안 하는 시간은 나한테 너무 힘들더라고. 취미를 한번 가져볼게.,sad
"얘가 집을 너무 더럽게 해 놓고 살잖아 같이 사는 집인데.	",anger
"고딩때부터 알던 사이이긴한데 그때는 이런지 몰랐지.	",anger
어떻게 살지? 이번 달은 망했어!,sad
다행히 생명에는 지장 없으시지만 며칠 입원해 계셔야 된대.,anger
지금 한시간도 넘었어.,anger
알았어. 우리 집 해피랑 산책도 많이 해볼게.,sad
"나 그 사람과 헤어졌어.	",sad
"내 금쪽같은 시간이 1시간이나 지나버렸어 어쩜 이렇게 이기적일 수 있지.	",anger
"퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어.	",anger
"마음은 그러고 싶은데, 그게 쉬운 일이 아니잖아.",anger
유기견 다큐멘터리를 봤는데 무책임한 사람들 때문에 너무 화가 나.,disgust
나 결국 헤어졌어.,sad
3년 전에 친구 소개로 만나게 되었어. 3년을 만나온 셈이지.,sad
"연락이 안 돼, 연락이. 아니 연락이 돼야 어디 다른 데서 기다리든 집에 가든 할 거 아니냐고.",anger
권태기가 왔다고 잠깐 시간을 갖자더니 다른 사람이 생긴 거였어.,sad
당연히 도착하자마자 연락을 했지. 그때도 전화 안 받더니 지금도 전화 안 받아.,anger
"나 결국 헤어졌어.	",sad
"내봤지! 지난달에도 정색하고 얘기했었어.	",anger
"권태기가 왔다고 잠깐 시간을 갖자고 하더라고 그런데 알고 봤더니 새로운 사람이 생긴 거였어.	",sad
"3년을 만나면서 한 번도 싸운 적이 없었어 정말 잘해 줬거든.	",sad
어우. 자주 정도가 아니야. 단 한 번도 제 시간에 온 적이 없어.,anger
삼년 전에 친구 소개로 만나게 되었어.,sad
"3년 전 친구 소개로 알게 되었어 그 뒤로 계속 사귀게 되었지.	",sad
아 얘기로 해결될까 모르겠다! 내가 그냥 얘를 안 보는 게 나을까?,anger
3년내내 한번도 싸운적이 없었어.,sad
어제 저녁에 정말 무서웠어.,fear
이제 남은 회사도 없어.,sad
퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어!,anger
"약속 있어 나왔더니 친구가 아직도 오지 않고 있어.	",anger
직장 상사가 이번에 또 새로운 업무를 주겠다고 했어. 너무 짜증나!,anger
3년을 사귀면서 한 번도 싸운적이 없었어. 정말 나한테 잘해줬거든.,sad
"헤어진 지 이제 두 달 다 되어 가. 하지만 그 사람의 모습, 행동 이런 것들이 전혀 잊혀지지가 않어.",sad
아후 우리 아빠 또 다쳤어!,anger
헤어진 지 벌써 두 달이 다 돼 가. 하지만 아직도 잊혀지지가 않아.,sad
맞아. 버려진 유기견들 보니까 거의 다 다 커다란 강아지들이었어.,disgust
계속 야근도 하고 점심에 쉬는시간도 없이 일하고 있어 근데 퇴근시간까지 전화를 한다는 건 너무 심하지 않니?,anger
헤어진 지 이제 두 달 다 되어 가. 잊혀지지가 않어.,sad
또 술먹고 들어오시다가 집 앞 계단에서 넘어지셨어.,anger
맞아. 마음 정리하는게 이렇게 어려운지 이제 알았어.,sad
"요즘 매일 우울한 기분이 들어.	",sad
덥고 짜증나 죽겠는데 연락도 안 받아.,anger
회사에 답답한 내 마음을 털어놓고 이야기 할 사람이 없어. 그래서 더 힘들어.,anger
응. 지금 당장은 너무 힘들어. 하지만 세월이 지나면 잊혀지겠지?,sad
나는 잘 하는게 하나도 없나봐.,sad
"어제 저녁에 진짜 무서웠어.	",fear
나 면접 또 떨어졌어.,sad
"괜히 매일 우울한 기분이 들어.	",sad
"어우 기본 일주일에 5일이야 미치겠어.	",anger
혼난 건 맞는데 다 내가 잘못해서 그런 건데 뭐.,sad
집에 있기 답답해서 그냥 잠깐 산책나왔어.,sad
"잘 모르겠어. 밤에 잠들기도 힘들고, 아침에 일어나는 건 더 힘들어. 그리고 회사에서는 일이 손에 안잡혀.",sad
"얘기도 엄청 했지. 아주 가족끼리 번갈아 가면서 아빠랑 얘기했어. 근데도 못 고쳐, 술 먹는 버릇.",anger
힘들고 바쁘더라고 일은 진행이 돼야 될 거 아냐! 너무 무기력증에 빠진 느낌이 들어.,sad
나 결국 헤어졌어.,sad
"이번 회사가 공채로 시험 보는 마지막 회사 였어.	",sad
맞아. 무기력증인 것 같기도 해. 회사가 한동안 진짜 바빴었거든.,sad
아 진짜 퇴근한지 얼마나 됐다고 또 회사에서 전화왔어.,anger
나는 정말 잘하는 게 하나도 없어.,sad
일찍 퇴근한다고 업무능력이 올라가는 것도 아닌데 뭐.,sad
나 요즘에 허리가 아픈 것 같아.,sad
권태기가 왔다고 잠깐 시간을 갖자고 하더라고. 그러더니 끝내 헤어지자고 하는 거야.,sad
부모님 기대가 너무 크셔. 그래서 아직 말씀 못 드렸어.,sad
어우 진짜 맘 같아선 당장 때려치고 싶어.,anger
나 면접 또 떨어졌어.,sad
내가 잘못한 건 맞다니까. 감기 기운 때문에 머리가 어떻게 됐나 봐.,sad
상습범이야 상습범 또 왜 이러는지 모르겠어 아우 진짜 미치겠네.,anger
응. 계속 앉아서 일하니까.,sad
으! 화장실에 누가 토하고 안 치워놨어.,disgust
친구 소개로 3년 전부터 사귀기 시작했어.,sad
"입맛이 없어서 아침부터 아무것도 안 먹었어 이따가 부모님과 함께 저녁 먹어야지.	",sad
아직 경력이 안 돼. 경력을 쌓아야 이직이든 뭐든 하지.,anger
"나 그 사람이랑 헤어졌어.	",sad
집에 있기 답답해서 잠깐 나왔어.,sad
우리 해피가 어제 세상을 떠났어.,sad
"병원엔 아직 안 가봤는데, 디스크 치료 받는 친구가 엄청 아프다 그래가지고 너무 걱정 돼.",sad
한 번도 싸운 적이 없는 그런 사이였어. 다들 부러워했지.,sad
"어제 해피가 세상을 떠났어.	",sad
이번 회사가 공채로 볼 수 있는 마지막 회사였어 다른 회사 준비할 회사도 없어.,sad
바로 병원에 데려갔는데도 소용이 없었어.,sad
그건 나도 아는데 요새 일이 너무 바빠서.,sad
이제 두 달이 조금 지났어. 정말 잊기 힘들다.,sad
그저께 밤에 갑자기 의식을 잃어버리더라고. 그러더니 어제 끝내 눈을 감았어.,sad
그냥 계속 해오던 프로젝트도 잘 안 풀리고. 일에 별로 진전이 없네.,sad
부모님께 아직 말씀 못드렸지. 나보다도 더 기대가 크시거든.,sad
식구들 다 슬퍼하고 있지.,sad
그래. 스트레칭해서 조금 나아졌으면 좋겠다.,sad
"나 그 사람과 결국 헤어졌어.	",sad
괜히 매일 우울한 기분이 들어.,sad
맞어. 이렇게 힘든지 몰랐어. 쉽게 잊을 줄 알고.,sad
다들 슬픔에 잠겨 있어. 15년을 같이 동고동락을 했잖아. 그러니 마음이 오죽 슬프겠어.,sad
나 면접 또 떨어졌어.,sad
그런건가. 아. 그냥 아무것도 안 하고 싶어.,sad
권태기인 것 같다고 시간 좀 갖자 그러더니 다른 사람이 생긴 것 같아.,sad
밤 새워 준비해 온 기획안은 또 퇴짜 맞았어!,sad
나 결국 헤어졌어.,sad
"그것도 얼른 상의해서 정해야 되는데 아직 진행 못 했어.	",sad
"경기도 내에 있는 유기견 보호소를 찍었는데, 버려진 아이들이 너무 많았어.",disgust
당장 쓸 생활비가 하나도 없어.,sad
방금 갔다왔는데 아직도 그대로야!,disgust
"며칠 전부터 시름시름 아파 하더라고 그러더니 어제 끝내 눈을 감았어.	",sad
"잘 모르겠어. 밤에 잠 들기도 힘들고, 일어날 땐 더 힘들고. 회사에서는 일이 손에 안 잡혀. 모든 게 다 멈춰 있는 거 같애.",sad
약속이 있어서 친구 기다리고 있는데 아직도 안오고 있어.,anger
나 면접 또 떨어졌어.,sad
다들 정신 없어서 장례는 아직 생각 못 해봤네.,sad
오늘이 발표날이야. 연락이 안 오길래 알아봤지.,sad
좀 쉬면 나아질까? 이렇게까지 우울했던 적이 없어서 뭘 해야될지 모르겠어.,sad
"3년 됐어.	",sad
그저께부터 시름시름 앓더니 결국 떠났어.,sad
"이 상황이 밥 생각이 나겠어 배도 안 고파 지금은.	",sad
약속 있어서 친구 기다리는데 아직도 안왔어.,anger
누가 화장실에 토를 하고 안 치웠어.,disgust
어. 2만원 갖고 2주 버텨야 해.,sad
다들 말을 잇지 못하지. 15년을 함께 살아왔던 아이잖아.,sad
"맞아 무기력증인 것 같아 정말 힘들고 바쁜 시간이 지나니 모든게 다 무의미해졌어.	",sad
한 시간이 넘어가고 있어.,anger
속이 답답해서 집에서 잠깐 나와서 걷고 있어.,sad
그래. 뭐라도 해봐야겠다. 고마워.,sad
그렇지 않아도 선배가 위로한다고 커피 사줘서 마시고 왔어.,sad
난 잘하는 게 없나 봐.,sad
벌써 한 시간 넘은 것 같아.,anger
유기견 다큐멘터리를 봤는데 무책임한 사람들 때문에 너무 화가 나.,disgust
밑반찬같은 것 조금밖에 없어.,sad
"이 회사 정말 가고 싶은 회사 였거든 그래서 이 회사 준비하느라고 다른 회사 준비할 시간도 없었어.	",sad
이 회사가 공채로 시험보는 마지막 회사라서 정말 두달간 열심히 했거든.,sad
아 나 내일 약속있는데 나가도 될까?,fear
"아니 우리 3년 동안 한 번도 크게 싸운 적도 없었어 그래서 난 잘 맞는다고 생각했거든.	",sad
15년동안 같이 지냈는데 이렇게 떠나게 되니까 정말 슬픈 것 같아.,sad
연락이 안 돼서 더 열받아.,anger
해피가 어제 세상을 떠났어.,sad
요새 식구들도 힘들어서 손 벌릴 수가 없어.,sad
"다 큰 개들은 인기가 없어서 버려지고 있대.	",disgust
부모님이 기대가 너무 크시더라고. 그래서 말씀 못 드렸어.,sad
부모님이 나보다 더 기대가 크셨어. 그래서 말씀 못 드렸어.,sad
"강남 쪽에서 보기로 했거든. 아 근데 거기 확진자도 계속 뜨고, 아 오늘 사망자까지 나와서.",fear
내 잘못이 아니지만 내 능력 부족이기도 해.,sad
"아까 잠깐 나가서 바람 쐬고 왔는데 별로 나아지는게 없네.	",sad
"얘는 진짜 매번 이런다.	",anger
그저께 저녁에 갑자기 의식을 잃어서 동물병원 응급실로 데려갔어. 의식을 좀 찾고 괜찮아지나 싶더니 결국 세상을 떠났어.,sad
괜히 매일 우울한 기분이 들어.,sad
요즘 매일매일 우울한 기분이 들어.,sad
입맛도 없어서 아침부터 아무것도 못 먹었어.,sad
"다들 바쁘다는 핑계로 내 이야기는 들어 주질 않아.	",anger
스트레스로 입맛도 하나도 없어. 이따가 저녁에 부모님 집에 가서 먹으려고.,sad
두달전에. 벌써 두달이나 됐는데 잊지를 못하겠어.,sad
그저께 밤에 갑자기 쓰러지더니 어제 저세상으로 갔어.,sad
요즘 너무 우울해.,sad
아까 가봤더니 지금도 그대로 있어! 정말 최악이야!,disgust
기획안을 처음부터 다시 다 해야돼서 그럴 시간은 없어.,sad
얘기 해도 그때만 미안해하고 그냥 끝이야!,anger
모르겠어. 괜히 무기력한 기분만 들어.,sad
나는 잘하는 게 없나봐.,sad
난 잘하는게 하나도 없나봐.,sad
매일매일 우울한 기분이 들어.,sad
나 그 사람이랑 헤어졌어.,sad
"슬픔은 이루 말할 수가 없어 15년 동안 같이 지내 왔던 가족같은 아이였어.	",sad
모르겠어. 그냥 아무것도 하기가 싫어.,sad
내가 잘못해서 이렇게 된 건 맞지. 감기 걸린 것도 관리 못한 내 잘못이고.,sad
우리 아빠 어제 또 다쳤어!,anger
"밤새워 준비한 기획안을 또 퇴짜 맞았어 다시 해 오래.	",sad
잘 모르겠어. 잠자는 것도 힘들고 일어나는 건 더 힘들어. 그리고 회사 가선 일이 손에 안 잡혀.,sad
"권태기가 왔는지 잠깐 시간을 갖자고 하더라고 그러더니 새로운 사람이 생겼대.	",sad
알아. 분명 좋은 곳으로 갔을거야. 정말 착하고 예쁜 아이였거든.,sad
우리 강아지가 죽었어.,sad
아 또 술 먹고서 넘어진거야!,anger
나 어떻게 살지? 망했어.,sad
일이 너무 진척이 없으니까 마음에 여유도 없어.,sad
맞아. 무기력증인 것 같아. 회사가 한동안 바빴었거든. 한가해지니깐 내가 힘이 하나도 없네.,sad
갑자기 의식이 없어져서 바로 병원에 데려갔는데 바로 죽었어.,sad
생명에는 지장 없는데 허리 삐끗했다고 병원 갔어.,anger
아무것도 안하면 내가 더 힘들더라고. 취미를 한 번 가져볼게.,sad
친구 소개로 만나서 3년을 만났어.,sad
시간이 지나면 좀 나아지겠지?,sad
다들 충격 받아서 서로 말도 못 꺼내고 있지..,sad
"아 진짜 맨날 먹어.	",anger
"해피 장례식은 가족끼리 잘 치뤘어 해피를 다시 못 본다고 생각하니까 눈물이 엄청 나.	",sad
나 내일 약속 있는데 이거 그대로 가도 되나?,fear
기숙사 화장실에 누가 토해놓고 치우지도 않고 그냥 갔어.,disgust
좋은 생각이야. 우리 해피랑 산책하는 시간도 많이 가져볼게.,sad
난 잘하는 게 하나도 없나봐.,sad
3년을 만나면서 한번도 싸운 적이 없었어. 나한테 정말 잘해줬거든. ,sad
아니. 마음 아파서 우리 강아지 못 보내겠다. 어떻게 이렇게 보내주니!,sad
안 해봤겠냐! 이제 다 포기했어 식구들도!,anger
"하필 강남이야 거기 확진자 나왔잖아.	",fear
요새 괜히 우울한 기분이 들어.,sad
해피가 어제 세상을 떠났어.,sad
밤 새워 준비한 기획안을 또 퇴짜맞았어.,sad
"중학교 때부터 나랑 제일 좋은 친구였는데, 마음이 너무 아파.",sad
이제 좀 쉬려나 했더니 회사에서 또 연락이 왔어!,anger
그게 낫겠지? 이게 치료제도 없는 변종 바이러스라서.,fear
"눈치 보여서 나갈 수도 없어 지금부터 시작해도 퇴근시간까지 끝낼 수 있으려나 몰라.	",sad
며칠 전부터 시름시름 앓더라구. 그러더니 어제밤에 끝내 눈을 감았어.,sad
나 결국 헤어졌어.,sad
이제 벌써 두 달이 다 돼가. 그런데 잊혀지지가 않아.,sad
아. 나 지금 약속있어서 친구 기다리는데 얘가 올 생각을 안한다.,anger
"아, 나 진짜 못 다니겠어.",anger
"그래야겠다 진짜 너무 무서워.	",fear
해피가 갑자기 그렇게 떠나고 가족들도 다들 경황이 없어. 15년 동안 같이 지내왔잖아.,sad
그렇잖아도 잠깐 커피마시고 왔어.,sad
"아 뭐야 벌써 1시간이 지났어.	",anger
진짜 그래야 될 까봐. 왜 일을 나한테만 시켜?,anger
난 그나마 괜찮은 편이야. 우리 엄마는 계속 울고 계셔. 큰일이야.,sad
"우리 아빠가 어제 또 다쳤어.	",anger
"시간이 흐르면 괜찮아지겠지 하지만 지금 가슴이 찢어질 것 같아.	",sad
왜 연락도 됐다 안 됐다 해서 더 짜증나.,anger
지들 일까지 나한테 다 시키는데 누구한테 털어놔!,anger
우리도 좋은 곳으로 갔을 거라고 생각해. 하지만 너무 보고싶어.,sad
술 드시고 집에 오시다가 계단에서 구르셨대.,anger
위로 고마워. 과연 그런 날이 올까?,sad
"사실 자주 만나는 친군 아닌데, 얘 솔직히 약속 잡을 때마다 이랬어.",anger
알았어. 진짜 너무 화난다.,anger
그렇대! 대체 어떤 미친 사람들이 키우던 개를 버리는 거야!,disgust
"나는 잘하는게 아무것도 없나 봐.	",sad
"지금은 괜찮으셔 하지만 병원에 며칠 입원하셔야 돼.	",anger
늦을 때마다 얘기했었지! 근데 딱 그때만 미안하고 다음 약속 잡을 때 보면 또 똑같애.,anger
어제 저녁에 나 진짜 무서웠어.,fear
이 회사 들어올 때 정말 힘들게 들어왔거든. 조금만 더 버티고 싶어.,anger
내가 어이가 없어가지고. 어제 우리 아빠 계단에서 굴렀다.,anger
"유기견 다큐멘터리를 봤는데, 무책임한 사람들 때문에 정말 화가 나.",disgust
다치진 않았는데 지진은 진짜 처음 겪어봐서.,fear
"나 면접에 또 떨어졌어.	",sad
다들 바빠서 얼굴 보기도 힘들어.,anger
뻔하지. 술 먹었으니까 계단이 제대로 보이겠니? 지금 입원해있어.,anger
유기견 보호소를 촬영한 건데 버려진 유기견들이 너무 많았어.,disgust
"지금은 좀 괜찮은데 어제 진짜 무서웠어.	",fear
나 매일매일 우울한 기분이 들어.,sad
술을 그렇게 먹었으니 계단이 제대로 보일리가 있니? 지금 병원에 입원해 있어.,anger
진짜 그래야 되겠더라! 같이 밥을 먹던 친구가 발목을 다쳤어!,fear
난 잘하는 게 하나도 없나봐.,sad
"잘 모르겠어 잠드는 것도 힘들고 아침에 일어나는 건 더 힘들어 회사에서는 아무것도 못 하고 있어.	",sad
나 남자친구랑 헤어졌어.,sad
아 다행히 생명에는 지장없는데 아 이게 한두번이어야 말이지. 저번에는 이마를 꼬매질 않나.,anger
우리 공용 화장실에 누가 토 해놓고 안 치웠어.,disgust
면접을 다섯 군데 봤는데 다섯 군데 다 떨어지고 너무 스트레스 받고 실망해서 밥맛도 없어.,sad
나 결국 헤어졌어.,sad
알았어. 수정 하라는 것만 빨리 수정하고 일찍 좀 퇴근해볼게.,sad
회사가 바쁘다는 핑계로 과장님이 나한테만 일을 몰아주는 느낌이야.,anger
맞아. 무기력 증인 것 같아. 한동안 회사가 정말 바빴었거든.,sad
3년 동안 만났어.,sad
진짜 매일 먹는 것 같애! 일주일에 뭐 하루 이틀 빼고?,anger
"응. 바닥이랑 세면대랑. 아, 진짜 토나와!",disgust
하아. 나 면접 또 떨어졌다. 벌써 다섯 번째야.,sad
아무것도 안 하는 시간은 내가 더 힘들어지더라고. 취미를 한 번 가져볼게.,sad
헤어진지 두 달 다 돼가. 그런데 정말 잊혀지지가 않아.,sad
퇴근한 지 얼마나 됐다고 회사에서 또 연락이 왔어! ,anger
그래야겠어. 나까지 속이 안 좋아.,disgust
친구한테 전화를 했는데 전화도 안 받아. 그래서 답답해.,anger
이 회사 들어올 때 얼마나 힘들었는데. 그냥 이대로 그만두기엔 너무 아쉬워.,anger
